filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
PeteLien.png,678740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",21,0,"{""name"":""polyline"",""all_points_x"":[450,477,461,421,377,343],""all_points_y"":[53,124,153,145,45,60]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
PeteLien.png,678740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",21,1,"{""name"":""polyline"",""all_points_x"":[343,313,305,297,304,316,324,350,336,325,304,276,267,259,327,277,277,252,273,277,280,237,222,242,290,317],""all_points_y"":[58,85,135,252,282,302,317,353,373,387,416,410,394,380,362,288,288,273,240,197,166,153,132,100,77,63]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
PeteLien.png,678740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",21,2,"{""name"":""polyline"",""all_points_x"":[109,139,151,166,205,252],""all_points_y"":[345,329,322,314,290,273]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
PeteLien.png,678740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",21,3,"{""name"":""polyline"",""all_points_x"":[277,148,108],""all_points_y"":[288,346,366]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
PeteLien.png,678740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",21,4,"{""name"":""polyline"",""all_points_x"":[316,354],""all_points_y"":[302,287]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
PeteLien.png,678740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",21,5,"{""name"":""polyline"",""all_points_x"":[336,364],""all_points_y"":[373,386]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
PeteLien.png,678740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",21,6,"{""name"":""polyline"",""all_points_x"":[364,325],""all_points_y"":[386,387]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
PeteLien.png,678740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",21,7,"{""name"":""polyline"",""all_points_x"":[276,252],""all_points_y"":[410,422]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
PeteLien.png,678740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",21,8,"{""name"":""polyline"",""all_points_x"":[252,267],""all_points_y"":[422,394]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
PeteLien.png,678740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",21,9,"{""name"":""point"",""cx"":355,""cy"":287}","{""name"":""Stock0""}"
PeteLien.png,678740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",21,10,"{""name"":""point"",""cx"":364,""cy"":386}","{""name"":""Stock1""}"
PeteLien.png,678740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",21,11,"{""name"":""point"",""cx"":251,""cy"":423}","{""name"":""Stock2""}"
PeteLien.png,678740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",21,12,"{""name"":""point"",""cx"":109,""cy"":344}","{""type"":""unknown"",""image_quality"":{},""name"":""Loader""}"
PeteLien.png,678740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",21,13,"{""name"":""polyline"",""all_points_x"":[304,277],""all_points_y"":[282,288]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
PeteLien.png,678740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",21,14,"{""name"":""polyline"",""all_points_x"":[273,297],""all_points_y"":[240,252]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
PeteLien.png,678740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",21,15,"{""name"":""point"",""cx"":346,""cy"":62}","{""name"":""Entrance"",""type"":""unknown"",""image_quality"":{}}"
PeteLien.png,678740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",21,16,"{""name"":""point"",""cx"":289,""cy"":75}","{""name"":""Scale"",""type"":""unknown""}"
PeteLien.png,678740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",21,17,"{""name"":""polyline"",""all_points_x"":[354,324],""all_points_y"":[287,317]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
PeteLien.png,678740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",21,18,"{""name"":""polyline"",""all_points_x"":[148,139,103,71,53,112,132],""all_points_y"":[346,329,261,193,151,122,169]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
PeteLien.png,678740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",21,19,"{""name"":""polyline"",""all_points_x"":[132,96,76,151],""all_points_y"":[169,157,170,322]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
PeteLien.png,678740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",21,20,"{""name"":""polyline"",""all_points_x"":[132,140,179,216,277],""all_points_y"":[169,129,134,177,197]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
